parentName,interest,childName,date
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,STAR SPACE BUSINESS LIMITED,2020-09-03
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,EVERY MINUTE LIMITED,2020-09-03
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,PROP UP MY BUSINESS LIMITED,2020-09-03
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,MASTER OF BUSINESS LIMITED,2020-09-03
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,FREEDOM FOR BUSINESS LIMITED,2020-09-03
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,FREE FOR BUSINESS LIMITED,2020-09-03
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,RISE ME UP BUSINESS LIMITED,2020-09-03
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,GO TO THE START LIMITED,2020-09-03
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,BELIEVING IN BUSINESS LIMITED,2020-09-09
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,MATCHING BUSINESS LIMITED,2020-09-09
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,GOLD BUSINESS LIMITED,2020-09-09
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,BEST BUSINESS BUYS LTD,2020-09-09
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,INVOLVED IN THE COMPANY LIMITED,2020-09-09
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,DREAMING LIMITED,2020-09-09
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,HARD WORKING BUSINESS LIMITED,2020-09-09
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,WAVES AROUND BUSINESS LIMITED,2020-09-10
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,STYLISH BUSINESS LIMITED,2020-09-10
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,ALWAYS AROUND BUSINESS LIMITED,2020-09-10
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,POPULAR BUSINESS LIMITED,2020-09-10
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,SUBLIME AV LTD,2020-09-14
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,HERE FOR BUSINESS LIMITED,2020-09-14
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,GENEROUS BUSINESS LIMITED,2020-09-14
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,GLITTER EVENTS LIMITED,2020-09-14
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,WINNING GOLD LIMITED,2020-09-14
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,EXTREME BUSINESS LIMITED,2020-09-14
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,BOTTLE IT UP LTD,2020-09-21
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,RESET FITNESS LTD,2020-09-21
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,WONDERFUL BUSINESS LIMITED,2020-09-22
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,YOU ARE THE ONE LIMITED,2020-09-22
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,WISDOM BUSINESS LIMITED,2020-09-22
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,BRING YOU UP LIMITED,2020-09-22
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,HILL SAMUEL CORPORATION PLC,2020-09-22
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,BETTER WITH YOU LIMITED,2020-09-23
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,CHANGING UP THE BUSINESS LIMITED,2020-09-24
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,FIRST COME BUSINESS LIMITED,2020-09-24
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,AUTUMN BUSINESS LIMITED,2020-09-24
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,ALL THE SMILES BUSINESS LIMITED,2020-09-24
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,SPARKLE BUSINESS LIMITED,2020-09-24
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,GAIN IT ALL LIMITED,2020-09-29
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,UNLIMITED OFFERS LTD,2020-09-29
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,RISE INTO GREATNESS LIMITED,2020-09-29
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,CREATE BUSINESS IDEAS LIMITED,2020-09-29
CFS SECRETARIES LIMITED,http://bods.openownership.org/vocabulary/shareholding,GREAT ADVICE LIMITED,2020-09-30
OW HOLDINGS LTD,http://bods.openownership.org/vocabulary/shareholding,JLO TRAINING LIMITED,2020-09-15
PIRTEK (UK) LIMITED,http://bods.openownership.org/vocabulary/shareholding,CH HYDRAULICS LIMITED,2020-09-25
N HOLDING (LON) LTD,http://bods.openownership.org/vocabulary/shareholding,HNLW LTD,2020-09-21
N HOLDING (LON) LTD,http://bods.openownership.org/vocabulary/shareholding,DRLT LTD,2020-09-21
N HOLDING (LON) LTD,http://bods.openownership.org/vocabulary/shareholding,SLGH LTD,2020-09-23
N HOLDING (LON) LTD,http://bods.openownership.org/vocabulary/shareholding,DRMN LTD,2020-09-23
